"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Ground Reaction Force Evaluation during a Baseball Practice Swing Movement","M. Isogai; H. Kashiwazaki; K. Takahashi; K. Miyawaki","Aichi University of Technology, Gamagori-City, Aichi, Japan; National Institute of Technology, Akita College, Akita-City, Akita, Japan; National Institute of Technology, Akita College, Akita-City, Akita, Japan; National Institute of Technology, Akita College, Akita-City, Akita, Japan","The 32nd 2021 International Symposium on Micro-NanoMechatronics and Human Science","9 May 2022","2021","","","1","5","This study was designed to compare and evaluate the batting motion of skilled baseball players and unskilled novices. The batting motion, floor reaction forces acting on each foot, and swing speed of 6 skilled baseball players and 6 unskilled novices were recorded using a motion capture system, two force plates, and a speed gun. The batting motion was divided into four phases: stance, pivot foot loading, swing (impact), and follow-through. This study analyzed movements of the center of gravity, floor reaction force, and joint moment during the batting motion, with comparison based on players' baseball experience. Results suggest that a lower center of gravity is better and that the foot movement during batting is important.","2474-3771","978-1-6654-0773-1","10.1109/MHS53471.2021.9767166","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9767166","","Loading;Floors;Sports;Gravity","","","","3","IEEE","9 May 2022","","","IEEE","IEEE Conferences"
"An assessment of the effectiveness of speed controlling devices in descending slope roads","M. A. Martinez Ocampo; J. A. Romero Navarrete; J. L. Reyes Araiza; S. A. Obregon Biosca","Queretaro Autonomous University, Queretaro, Mexico; Queretaro Autonomous University, Queretaro, Mexico; Queretaro Autonomous University, Queretaro, Mexico; Queretaro Autonomous University, Queretaro, Mexico","2016 12th Congreso Internacional de Ingeniería (CONIIN)","23 Jun 2016","2016","","","1","5","In Mexico, different traffic calming devices are being used. For highways, the federal government has issued some criteria for the installation and geometrical distribution of small buttons that cross the roads, particularly in descending slopes, willing to reduce, by 10%, the traffic speed. However, there is the perception that such devices do not effectively reduce the traffic speed. In this paper, a field study is described of two different principles to assess the effectiveness of such devices to calm the traffic, installed in two highway locations. While one methodology was based upon a speed gun, mounted in a following car, the second one was based upon the analysis of videos of a traffic before and after the speed controller devices. Both analysis confirmed a poor performance of such devices to reduce the traffic speed, as only 15% of the scanned vehicles reduced their speed, as most of the vehicles showed an increased speed at the end of the speed control road segments.","","978-1-5090-2911-2","10.1109/CONIIN.2016.7498124","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7498124","Speeding;traffic calm zones;buttons;speed bumps;road safety;field studies","Roads;Vehicles;Velocity control;Videos;Cameras","","","","10","IEEE","23 Jun 2016","","","IEEE","IEEE Conferences"
"IEEE Draft Standard for the Performance of Down-the-Road Radar Used in Traffic Speed Measurements","",,"IEEE P2450/D4, October 2018","25 Oct 2018","2018","","","1","67","Baseline performance requirements and associated test procedures for down-the-road (DTR) traffic radar speed-measuring devices are established in this standard. Modulated or unmodulated continuous-wave (CW) microwave energy is transmitted, the signal reflected from moving vehicles within the microwave beam is received, the Doppler shift of the reflected signal to measure and display the speed of the vehicle that is being tracked, and if applicable, the speed of the patrol vehicle, is processed by these DTR radar devices. Unmanned radar speed-measuring devices, automated speed enforcement, or DTR radar range measurements are not covered in this standard.","","978-1-5044-5271-7","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8509653","IEEE 2450;performance standards;radar;speed measurement;test methods;traffic","IEEE Standards;Radar tracking;Traffic control;Radar measurements;Velocity measurement","","","","","","25 Oct 2018","","","IEEE","IEEE Standards"
"IEEE Approved Draft Standard for the Performance of Down-the-Road Radar Used in Traffic Speed Measurements","",,"IEEE P2450/D6, April 2019","6 May 2019","2019","","","1","69","Baseline performance requirements and associated test procedures for down-the-road (DTR) traffic radar speed-measuring devices are established in this standard. Modulated or unmodulated continuous-wave (CW) microwave energy is transmitted, the signal reflected from moving vehicles within the microwave beam is received, the Doppler shift of the reflected signal to measure and display the speed of the vehicle that is being tracked, and if applicable, the speed of the patrol vehicle, is processed by these DTR radar devices. Unmanned radar speed-measuring devices, automated speed enforcement, or DTR radar range measurements are not covered in this standard.","","978-1-5044-5813-9","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8707155","IEEE 2450;performance standards;radar;speed measurement;test methods;traffic","IEEE Standards;Radar tracking;Doppler radar;Radar measurments;Microwave measurement;Microwave devices;Traffic control","","","","","","6 May 2019","","","IEEE","IEEE Standards"
"IEEE Draft Standard for the Performance of Down-the-Road Radar Used in Traffic Speed Measurements","",,"IEEE P2450/D5, March 2019","11 Apr 2019","2019","","","1","68","Baseline performance requirements and associated test procedures for down-the-road (DTR) traffic radar speed-measuring devices are established in this standard. Modulated or unmodulated continuous-wave (CW) microwave energy is transmitted, the signal reflected from moving vehicles within the microwave beam is received, the Doppler shift of the reflected signal to measure and display the speed of the vehicle that is being tracked, and if applicable, the speed of the patrol vehicle, is processed by these DTR radar devices. Unmanned radar speed-measuring devices, automated speed enforcement, or DTR radar range measurements are not covered in this standard.","","978-1-5044-5712-5","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8688671","IEEE 2450;performance standards;radar;speed measurement;test methods;traffic","IEEE Standards;Doppler radar;Radar measurements;Microwave measurements;Performance evaluation;Road traffic;Traffic control","","","","","","11 Apr 2019","","","IEEE","IEEE Standards"
"Reference image-independent fault detection in transportation camera systems for nighttime scenes","A. Raghavan; J. Liu; B. Saha; R. Price","Palo Alto Research Center (PARC, A Xerox Company), Palo Alto, CA, USA; Palo Alto Research Center (PARC, A Xerox Company), Palo Alto, CA, USA; Palo Alto Research Center (PARC, A Xerox Company), Palo Alto, CA, USA; Palo Alto Research Center (PARC, A Xerox Company), Palo Alto, CA, USA","2012 15th International IEEE Conference on Intelligent Transportation Systems","25 Oct 2012","2012","","","963","968","Automated, unattended camera systems used for various transportation applications such as toll collection and photo enforcement need to capture high quality images in a variety of outdoor scenarios. In particular, they need to remain functional in low ambient illumination conditions (nighttime and cloudy day situations) to enable identification of objects or persons involved in incidents being monitored or extracting relevant information. Over time, for installed camera systems in the field, several problems can develop, such as external flash unit failures, focus drifts, and exposure issues. Thus, it is important to periodically monitor the nighttime images/videos taken by the camera system to ensure nominal functionality. However, due to constantly changing scene elements, it is not practical to compare a historical reference image with an identical scene against current camera output to detect problems. To address this, we present image quality metrics that can be extracted without a nominal reference image and can be used to characterize these problems. These can be incorporated into algorithms that can enable automated camera diagnostics for intelligent transportation systems.","2153-0017","978-1-4673-3063-3","10.1109/ITSC.2012.6338742","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6338742","","Measurement;Vehicles;Cameras;Lighting;Licenses;Image segmentation;Image color analysis","","6","1","14","IEEE","25 Oct 2012","","","IEEE","IEEE Conferences"
"Detection of scene obstructions and persistent view changes in transportation camera systems","A. Raghavan; R. Price; J. Liu","Palo Alto Research Center (PARC, A Xerox Company), Palo Alto, CA, USA; Palo Alto Research Center (PARC, A Xerox Company), Palo Alto, CA, USA; Palo Alto Research Center (PARC, A Xerox Company), Palo Alto, CA, USA","2012 15th International IEEE Conference on Intelligent Transportation Systems","25 Oct 2012","2012","","","957","962","Unattended camera devices are increasingly being used in various intelligent transportation systems (ITS) for applications such as surveillance, toll collection, and photo enforcement. In these fielded systems, a variety of factors can cause camera obstructions and persistent view changes that may adversely affect their performance. Examples include camera misalignment, intentional blockage resulting from vandalism, and natural elements causing obstruction, such as foliage growing into the scene and ice forming on the porthole. In addition, other persistent view changes resulting from new scene elements of interest being captured, such as stalled cars, suspicious packages, etc. might warrant alarms. Since these systems are often unattended, it is often important to automatically detect such incidents early. In this paper, we describe innovative algorithms to address these problems. A novel approach that uses the image edge map to detect near-field obstructions without a reference image of the unobstructed scene is presented. A second algorithm that can be used to detect more generic obstructions and persistent view changes using a learned scene element cluster map is then discussed. Lastly, an approach to detect and distinguish persistent view changes from changes in the orientation of the fixed camera system is explained. Together, these algorithms can be useful in a variety of camera-based ITS.","2153-0017","978-1-4673-3063-3","10.1109/ITSC.2012.6338710","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6338710","","Image edge detection;Cameras;Abstracts;Training;Transient analysis;Measurement;Transportation","","4","2","8","IEEE","25 Oct 2012","","","IEEE","IEEE Conferences"
"Automated fault detection in violation enforcement cameras within Electronic Toll Collection systems","A. Ganguli; A. Raghavan; V. Kozitsky; A. Burry","Palo Alto Research Center a Xerox Company, Palo Alto, California; Palo Alto Research Center a Xerox Company, Palo Alto, California; Xerox Research Center, New York, Webster, United States of America; Xerox Research Center, New York, Webster, United States of America","16th International IEEE Conference on Intelligent Transportation Systems (ITSC 2013)","30 Jan 2014","2013","","","1981","1986","Electronic Toll Collection facilities offer travelers the ability to pay toll electronically, most commonly via Radio Frequency Identification (RFID) transponders placed within the vehicle. ETCs are complex systems comprising of a multitude of sensing and electronics equipment. To prevent violation, photo enforcement cameras are used to capture license plate images of the violating vehicle. To ensure adequate image quality and integrity of these cameras, it is standard maintenance practice to manually review camera images on a periodic basis. The manual review process can be expensive, error prone and may involve only a fraction of the images actually captured. To address this problem, we present algorithmic tools that can be used to automatically review images to detect any potential camera faults, thus, reduce human workload and increase maintenance efficiency. Wherever possible, we use no-reference or reduced-reference approaches for fault detection.","2153-0017","978-1-4799-2914-6","10.1109/ITSC.2013.6728520","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6728520","","Cameras;Licenses;Vehicles;Measurement;Image edge detection;Detectors;Feature extraction","","2","","9","IEEE","30 Jan 2014","","","IEEE","IEEE Conferences"
"SpeedTalker: Automobile Speed Estimation via Mobile Phones","X. Lu; L. Xie; Y. Yin; W. Wang; Y. Bu; Q. Guo; S. Lu","State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, Jiangsu, China; State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, Jiangsu, China; State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, Jiangsu, China; State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, Jiangsu, China; State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, Jiangsu, China; State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, Jiangsu, China; State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, Jiangsu, China","IEEE Transactions on Mobile Computing","5 May 2022","2022","21","6","2210","2227","Among all the road accidents, speeding is the most deadly factor. To reduce speeding, it is essential to devise efficient schemes for ubiquitous speed monitoring. Traditional approaches either suffers from using special equipment(e.g., radar speed gun) or special deployment(e.g., position-fixed cameras). In this article, we propose SpeedTalker, a mobile phone-based approach to perform speed detection on automobiles. By leveraging the built-in microphones and camera from the mobile phone, SpeedTalker estimates the automobile speed by passively sensing the acoustic and image signals. We propose an integrated solution to effectively estimate the automobile’s speed based on COTS devices, and provide a platform for every pedestrian to help report the speeding event of automobiles. Specifically, we use the time difference of arrivals (TDOA) model based on acoustic signals to figure out the candidate trajectories of automobile, and use the pin-hole model based on image frames to figure out the vertical distance between the user’s position and the automobile’s trajectory, thus to estimate the unique trajectory. Combined with the time stamp of the trajectory, the automobile speed can be estimated. Besides, we propose a method to effectively mitigate the influence of the movement jitters of mobile phone. We implemented a system prototype for SpeedTalker and estimated the automobile speed with high accuracy. Experiment results show that in the scenario of single automobile, SpeedTalker can achieve an average estimation error of 6.1 percent compared to radar speed guns. In the scenario of multiple automobiles, SpeedTalker can achieve an average estimation error of 9.8 percent, which is acceptable for usage.","1558-0660","","10.1109/TMC.2020.3034354","National Natural Science Foundation of China(grant numbers:61872174,61832008,61802169,61872173,61902175); Natural Science Foundation of Jiangsu Province(grant numbers:BK20180325,BK20190293); Collaborative Innovation Center of Novel Software Technology and Industrialization; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9242267","Automobile speed estimation;microphone;camera;TDOA","Automobiles;Cameras;Mobile handsets;Acoustics;Microphones;Trajectory;Sensors","","4","","34","IEEE","28 Oct 2020","","","IEEE","IEEE Journals"
"Video-Based Vehicle Speed Estimation Using Speed Measurement Metrics","K. Sangsuwan; M. Ekpanyapong","School of Engineering and Technology, Asian Institute of Technology, Khlong Nueng, Thailand; School of Engineering and Technology, Asian Institute of Technology, Khlong Nueng, Thailand","IEEE Access","11 Jan 2024","2024","12","","4845","4858","Camera system is widely used as a road traffic monitoring nowadays but if the system is used as a speed camera, an additional speed sensor is required. In this work, we demonstrate a novel method to estimate speed of vehicle in the traffic video without using the additional sensor. We implement two speed measurement models which are measuring traveling distance of the vehicle in a given unit of time and measuring traveling time in a given unit of distance. To get parameters of the models, we define four virtual intrusion lines on road in the camera view. Then, YOLOv3, DeepSORT, GoodFeatureToTrack, and Pyramidal Lucas-Kanade optical flow algorithm are implemented together to detect and track the target vehicle while moving in the camera view. From the tracking data, pixel displacement between two consecutive frames (before and after the vehicle crossing the line) is measured as Crossing distance. The number of frames that the vehicle uses while moving from the first line to the other lines is measured as Traveling time. These two parameters at each intrusion line are used as speed measurement metrics. Solution of the metrics are solved by using tracking data of 20 vehicles at 9 different ground truth speeds measured by a laser speed gun. Then, the metrics are used to estimate speed of 813 vehicles. Our best accuracy is with MAE of 3.38 and RMSE of 4.69 km/h when comparing to their ground truth speed. The same dataset are tested on a Multilayer Perceptron Neural Network model. It can reach accuracy with MAE of 3.07 km/h (RMSE 3.98 km/h).","2169-3536","","10.1109/ACCESS.2024.3350381","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10381710","Vehicle speed estimation;DeepSORT;YOLOv3;GoodFeatureToTrack;Lucas-Kanade;optical flow;vehicle tracking","Cameras;Velocity measurement;Roads;Measurement;Estimation;YOLO;Machine learning algorithms;Vehicle dynamics;Vehicle driving;Tracking","","","","44","CCBYNCND","5 Jan 2024","","","IEEE","IEEE Journals"
"IEEE Standard for the Performance of Down-the-Road Radar Used in Traffic Speed Measurements","",,"IEEE Std 2450-2019","27 Nov 2019","2019","","","1","62","Baseline performance requirements and associated test procedures for down-the-road (DTR) traffic radar speed-measuring devices are established in this standard. Modulated or unmodulated continuous-wave (CW) microwave energy is transmitted, the signal reflected from moving vehicles within the microwave beam is received, the Doppler shift of the reflected signal to measure and display the speed of the vehicle that is being tracked, and if applicable, the speed of the patrol vehicle, is processed by these DTR radar devices. Unmanned radar speed-measuring devices, automated speed enforcement, or DTR radar range measurements are not covered in this standard.;Baseline performance requirements and associated test procedures for down-the-road (DTR) traffic radar speed-measuring devices are established in this standard. Modulated or unmodulated continuous-wave (CW) microwave energy is transmitted, the signal reflected from moving vehicles within the microwave beam is received, the Doppler shift of the reflected signal to measure and display the speed of the vehicle that is being tracked, and if applicable, the speed of the patrol vehicle, is processed by these DTR radar devices. Unmanned radar speed-measuring devices, automated speed enforcement, or DTR radar range measurements are not covered in this standard.","","978-1-5044-5979-2","10.1109/IEEESTD.2019.8916003","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8916003","IEEE 2450;performance standards;radar;speed measurement;test methods;traffic","IEEE Standards;Performance evaluation;Radar measurements;Vehicle driving;Traffic control;Velocity measurement","","1","","6","","27 Nov 2019","","","IEEE","IEEE Standards"
"Vehicular Traffic Surveillance and Road Lane Detection Using Radar Interferometry","D. Felguera-Martin; J. -T. Gonzalez-Partida; P. Almorox-Gonzalez; M. Burgos-García","Departamento de Señales, Universidad Politécnica de Madrid, Madrid, Spain; Departamento de Señales, Universidad Politécnica de Madrid, Madrid, Spain; Departamento de Señales, Universidad Politécnica de Madrid, Madrid, Spain; Departamento de Señales, Universidad Politécnica de Madrid, Madrid, Spain","IEEE Transactions on Vehicular Technology","15 Mar 2012","2012","61","3","959","970","Speed enforcement on public roadways is an important issue in order to guarantee road security and to reduce the number and seriousness of traffic accidents. Traditionally, this task has been partially solved using radar and/or laser technologies and, more recently, using video-camera based systems. All these systems have significant shortcomings that have yet to be overcome. The main drawback of classical Doppler radar technology is that the velocity measurement fails when several vehicles are in the radars beam. Modern radar systems are able to measure speed and range between vehicle and radar. However, this is not enough to discriminate the lane where the vehicle is driving on. The limitation of several vehicles in the beam is overcome using laser technology. However, laser systems have another important limitation: They cannot measure the speed of several vehicles simultaneously. Novel video-camera systems, based on license plate identification, solve the previous drawbacks, but they have the problem that they can only measure average speed but never top-speed. This paper studies the feasibility of using an interferometric linear frequency modulated continuous wave radar to improve top-speed enforcement on roadways. Two different systems based on down-the-road and across-the-road radar configurations are presented. The main advantage of the proposed solutions is they can simultaneously measure speed, range, and lane of several vehicles, allowing the univocal identification of the offenders. A detailed analysis about the operation and accuracy of these solutions is reported. In addition, the feasibility of the proposed techniques has been demonstrated with simulations and real experiments using a Ka-band interferometric radar developed by our research group.","1939-9359","","10.1109/TVT.2012.2186323","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6144059","Automotive radar;road traffic control;road vehicle location monitoring;road vehicle radar;traffic control (transportation)","Vehicles;Measurement by laser beam;Roads;Doppler radar;Uncertainty;Laser radar","","55","","17","IEEE","31 Jan 2012","","","IEEE","IEEE Journals"
"Hybrid Sensor-based traffic monitoring and managing urban areas in hyderabad city","J. Moses C; K. M. V. V. Prasad","Centre for Signal Processing and Communication Systems Sreyas Institute of Engineering and Technology, Department of ECE, Hyderabad, India; Centre for Signal Processing and Communication Systems Sreyas Institute of Engineering and Technology, Department of ECE, Hyderabad, India","3rd Smart Cities Symposium (SCS 2020)","22 Sep 2021","2020","2020","","119","123","Traffic control and management is an important factor in related with development of urban. A smart city comprises of smart health care, smart environment, smart home and smart road transportation system. For all these modernizations both artificial intelligence (AI) and machine learning (ML) take major parts in smart operation. By using hybrid sensors, the traffic light systems can be triggered depending on the measured volume of traffic, including temporary deactivation of the traffic lights when roads are quiet. The traffic data collected with the hybrid technology is then used to analyse and control traffic volumes. The radar technology for traffic monitoring applications include traffic light controls, speed enforcement, traffic monitoring and traffic classification. Therefore, this proposal suggests exploring design and prototype model and utilize the model for appropriate road traffic monitoring and management system. The objectives of the proposed system are to reduce traffic congestion, to count traffic flow, to classify the traffic, to provide green environment by reducing air-pollution generated by vehicles, to provide safety for stakeholders (pedestrians and driver and passengers) and to forecast traffic flow.","","","10.1049/icp.2021.0903","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9545583","","","","","","","","22 Sep 2021","","","IET","IET Conferences"
"Extraction of Car License Plate Regions Using Line Grouping and Edge Density Methods","G. Heo; M. Kim; I. Jung; D. -R. Lee; I. -S. Oh","Department of Computer and Information Science, Chonbuk National University of Korea, Jeonju, South Korea; Department of Computer and Information Science, Chonbuk National University of Korea, Jeonju, South Korea; Department of Computer and Information Science, Chonbuk National University of Korea, Jeonju, South Korea; Department of Computer and Information Science, Chonbuk National University of Korea, Jeonju, South Korea; Department of Computer and Information Science, Chonbuk National University of Korea, Jeonju, South Korea","2007 International Symposium on Information Technology Convergence (ISITC 2007)","26 Dec 2007","2007","","","37","42","In this paper we propose the double chance algorithm as an approach to car license plate extraction. The first algorithm extracts the line segments and groups them based on a set of geometrical conditions. It detects a rectangle at the plate boundary accurately. The second algorithm finds plate regions at which the vertical edges appear densest. We evaluated the double chance framework with and without the verification process. The verification process is performed using the character segmentation module. Using a real-life database collected by the speed enforcement camera, we obtained a high success rate of 99.45%, through use of the double chance approach with verification.","","0-7695-3045-1","10.1109/ISITC.2007.79","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4410602","","Licenses;Image edge detection;Cameras;Character recognition;Data mining;Neural networks;Roads;Image databases;Information technology;Information science","","16","","15","IEEE","26 Dec 2007","","","IEEE","IEEE Conferences"
"Targetmaspect-dependent RCS: the effect on assumed beam angle","D. G. Jensen","Maritime Operations Division, Defence Science and Technology Organisation, Rockingham, WA, Australia","IEEE Antennas and Propagation Magazine","3 Jan 2005","2004","46","3","75","78","Traffic speed enforcement is becoming more reliant on automated speed-detection devices, particularly the use of photographically linked slant radar devices. We have conducted an analysis of whether target-aspect-dependent radar cross section (RCS) could have an effect on the accuracy of speed measurements. It was found that there is the potential for a 2.5% error (for a radar aligned at 22"" to the road, with a -3 dB beamwidth of 5"") in the speed measured by the radar devices. This is because of the interference between the RCS and the radar beam pattern, if only the main lobe is considered. There are cases, however, when the interference between the RCS and the radar beam patterns are such that the strongest return occurs in the first sidelobe. In these cases, the potential speed error is about 7%. This would be unlikely to occur in practice, however, because of the inverse fourth-power relationship with range. We have not included the details of RCS sidelobe returns in the analysis.","1558-4143","","10.1109/MAP.2004.1374099","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1374099","Doppler radar; radar antennas; radar measurements; radar velocity measurement; radar cross sections; antennaradiation patterns","Radar cross section;Doppler radar;Radar measurements;Radar antennas;Vehicles;Velocity measurement;Australia;Doppler shift;Roads;Interference","","","","9","IEEE","3 Jan 2005","","","IEEE","IEEE Magazines"
"Fuel savings as an incentive for speed compliance in the informal public transport industry in South Africa","N. A. E. Eno Akpa; M. J. Booysen; M. Sinclair","Department of Electrical and, Electronic Engineering, Stellenbosch University, South Africa; Department of Electrical and, Electronic Engineering, Stellenbosch University, South Africa; Department of Civil Engineering, Stellenbosch University, South Africa","2019 IEEE Intelligent Transportation Systems Conference (ITSC)","28 Nov 2019","2019","","","492","496","The informal public transport industry in South Africa, primarily dominated by minibus taxis, is noted for its poor compliance to posted speed limits, if not the outright disregard thereof. Many taxis even exceed the differentiated speed limits set for the lighter passenger vehicles used for private transport. Although a few innovative on-road measures have been used to improve speed limit compliance and road safety-such as Average Speed Enforcement (ASE)-these have not satisfactorily mitigated the speeding problem associated with minibus taxis. Looking at alternative measures in the form of incentives, this paper seeks to investigate the financial benefits to minibus taxi drivers as a result of fuel savings due to speed limit compliance and safe driving. Although it is observed from the results that minibus taxi drivers do not currently take advantage of fuel-saving driving patterns, it is also proven that, based on their current driving patterns, these drivers could potentially increase their remuneration per weekend by as much as 173% should they comply with posted speed limits.","","978-1-5386-7024-8","10.1109/ITSC.2019.8917491","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8917491","","Public transportation;Fuels;Vehicles;Global Positioning System;Mathematical model;Extrapolation;Industries","","","","22","IEEE","28 Nov 2019","","","IEEE","IEEE Conferences"
"IEEE Draft Standard for the Performance of Down-the-Road Radar Used in Traffic Speed Measurements","",,"IEEE P2450/D2, September 2017","29 Mar 2018","2018","","","1","53","Baseline performance requirements and associated test procedures for down-the-road (DTR) traffic radar speed-measuring devices are established in this standard. Modulated or unmodulated continuous-wave (CW) microwave energy is transmitted, the signal reflected from moving vehicles within the microwave beam is received, the Doppler shift of the reflected signal to measure and display the speed of the vehicle that is being tracked, and if applicable, the speed of the patrol vehicle, is processed by these DTR radar devices. Unmanned radar speed-measuring devices, automated speed enforcement, or DTR radar range measurements are not covered in this standard.","","978-1-5044-4825-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8328060","IEEE 2450;performance standards;radar;speed measurement;test methods;traffic","IEEE Standards;Radar measurements;Performance evaluation;Road vehicles;Traffic control;Velocity measurement","","","","","","29 Mar 2018","","","IEEE","IEEE Standards"
"An energy and emissions impact evaluation of intelligent speed adaptation","O. Servin; K. Boriboonsomsin; M. Barth","Electrical Engineering and CE-CERT, University of California, Riverside, CA, USA; Electrical Engineering and CE-CERT, University of California, Riverside, CA, USA; Electrical Engineering and CE-CERT, University of California, Riverside, CA, USA","2006 IEEE Intelligent Transportation Systems Conference","9 Oct 2006","2006","","","1257","1262","Excessive vehicle speed on today's roadways often results in accidents, high fuel consumption rates, and excessive pollutant emissions. Traditional methods of limiting speed have only been moderately effective. Using the latest intelligent transportation technology, speed enforcement can be enhanced through vehicle speed management programs, often referred to as intelligent speed adaptation (ISA). An ISA system monitors the location and speed of the vehicle, compares it to a defined set speed, and takes corrective action such as advising the driver and/or governing the top speed of the vehicle. ISA is an active research field in Europe where it is currently being evaluated. In addition to safety improvements, ISA has the potential to mitigate congestion by smoothing traffic flow during congested conditions, which may also lead to lower fuel consumption and pollutant emissions. In this paper, the energy and emissions impacts of ISA are investigated in detail using both simulation tools and real-world experimentation. This research makes use of state-of-the-art transportation/emissions modeling tools. The simulation analysis is focused on examining different speed management strategies under varying freeway congestion conditions. A set of limited real-world experiments have also been performed using real-time traffic information provided to an ISA-equipped vehicle driving in traffic. Results are compared to another non-equipped-ISA vehicle acting as a control, representing the general traffic flow. Preliminary results indicate that significant reductions are possible for both fuel consumption and emissions without drastically affecting travel time","2153-0017","1-4244-0093-7","10.1109/ITSC.2006.1707395","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1707395","","Instruction sets;Traffic control;Fuels;Vehicle driving;Pollution;Intelligent vehicles;Road vehicles;Road accidents;Intelligent transportation systems;Technology management","","38","1","19","IEEE","9 Oct 2006","","","IEEE","IEEE Conferences"
"Fortifying Smart Transportation Security Through Public Blockchain","M. Wazid; B. Bera; A. K. Das; S. P. Mohanty; M. Jo","Department of Computer Science and Engineering, Graphic Era Deemed to be University, Dehradun, India; Center for Security, Theory and Algorithmic Research, International Institute of Information Technology Hyderabad, Hyderabad, India; Center for Security, Theory and Algorithmic Research, International Institute of Information Technology Hyderabad, Hyderabad, India; Department of Computer Science and Engineering, University of North Texas, Denton, TX, USA; Department of Computer Convergence Software, Korea University, Sejong, South Korea","IEEE Internet of Things Journal","24 Aug 2022","2022","9","17","16532","16545","Smart vehicles-enabled intelligent transportation system (ITS) supports a wide range of applications, such as, but not limited to, traffic planning and management, collision avoidance alert system, automated road speed enforcement, electronic toll collection, and real-time parking management, to name a few. However, it suffers from various types of security and privacy issues due to insecure communication among the entities over public channels. Therefore, an efficient and lightweight security mechanism is essential to protect the data that is both at rest as well as in transit. To this direction, we propose a public blockchain-envisioned secure communication framework for ITS (PBSCF-ITS). The proposed PBSCF-ITS guarantees access control and key management among the vehicle to vehicle, vehicle to roadside unit, and roadside unit to cloud server. We analyze the security of PBSCF-ITS to prove its resilience against various types of possible attacks. Furthermore, the performance of PBSCF-ITS with other related competing schemes has been compared. The obtained results illustrate that PBSCF-ITS outperforms the existing ones. Additionally, the pragmatic study of PBSCF-ITS is conducted to check its influence on various network-related performance parameters, like the number of mined blocks and transactions per block.","2327-4662","","10.1109/JIOT.2022.3150842","Regional Innovation Strategy (RIS) through the National Research Foundation of Korea (NRF) funded by the Ministry of Education (MOE), South Korea(grant numbers:2021RIS-004); Ripple Centre of Excellence Scheme, CoE in Blockchain (Sanction No. IIIT/Research and Development Office/Internal Projects/001/2019), IIIT Hyderabad, India; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9709886","Access control and key management;blockchain;intelligent transportation system (ITS);security;vehicular network","Security;Blockchains;Servers;Computational modeling;Authentication;Cloud computing;Accidents","","30","","46","IEEE","11 Feb 2022","","","IEEE","IEEE Journals"
