"Authors","Author full names","Author(s) ID","Title","Year","Source title","DOI","Link","Abstract"
"Du L.; Sun Q.; Bai J.","Du, Lei (55334702300); Sun, Qiao (36646558500); Bai, Jie (57199656149)","55334702300; 36646558500; 57199656149","A New Calibration Method for 3D Tracking Radar Doppler Velocimeter for Traffic Speed Enforcement","2019","2019 International Radar Conference, RADAR 2019","10.1109/RADAR41533.2019.171392","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084960091&doi=10.1109%2fRADAR41533.2019.171392&partnerID=40&md5=0b4cb823d337791e70f43307ed1630cb","Based on the working principle of 3D tracking radar Doppler velocimeter for traffic speed enforcement, a new calibration method based on the Doppler shift simulation method is proposed in this paper. A new moving-target speed simulator is specifically designed and realized to verify the proposed new calibration method. The simulated speed range of the simulator is up to (10∼250) km/h and the maximum permissible error is ±0.1 km/h, which can satisfy the calibration requirements of 3D tracking radar Doppler velocimeter. The calibration results of a selected sample validate the effectiveness and feasibility of the new calibration method. © 2019 IEEE."
"Zhou Y.; Fu C.; Liu H.; Liu H.; Liu L.","Zhou, Yue (57210314660); Fu, Chuanyun (49663195400); Liu, Haiyue (57210320552); Liu, Hua (57213841147); Liu, Lincai (57214762206)","57210314660; 49663195400; 57210320552; 57213841147; 57214762206","Halo effects of automated speed enforcement: A literature review","2019","ICTE 2019 - Proceedings of the 6th International Conference on Transportation Engineering","10.1061/9780784482742.032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079042057&doi=10.1061%2f9780784482742.032&partnerID=40&md5=3dc6af5affd91ebcb4bd2923f64b78d5","With the increasing evidences of halo effects regarding automated speed enforcement (ASE), an empirical review is conducted to analyze the findings of previous literatures. 24 studies are filtered to evaluated the three types of halo effects. The current paper find that the typical existence of distance halo is associated with fixed cameras, while spillover effect and time halo are in related to mobile cameras. There are limited literatures to investigate relative contributors, although factors such as ASE type, visibility, warnings, roads, and vehicles are proved to be related to characteristics of various halo effects. Moreover, this review reveals the essence of halo effects, which represented three dimensions of enforcement impact (two spatial dimensions and one temporal dimension). This paper also provides a potential repeated enforcement assumption to explain the time halo. Limitations of the existing studies have been discussed. © 2020 American Society of Civil Engineers."
"Eno Akpa N.A.E.; Booysen M.J.; Sinclair M.","Eno Akpa, N.A. Ebot (57215346086); Booysen, M.J. (51664541800); Sinclair, M. (55839955500)","57215346086; 51664541800; 55839955500","Fuel savings as an incentive for speed compliance in the informal public transport industry in South Africa","2019","2019 IEEE Intelligent Transportation Systems Conference, ITSC 2019","10.1109/ITSC.2019.8917491","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076823085&doi=10.1109%2fITSC.2019.8917491&partnerID=40&md5=41cb7e9e332ad836309dec32716af165","The informal public transport industry in South Africa, primarily dominated by minibus taxis, is noted for its poor compliance to posted speed limits, if not the outright disregard thereof. Many taxis even exceed the differentiated speed limits set for the lighter passenger vehicles used for private transport. Although a few innovative on-road measures have been used to improve speed limit compliance and road safety - such as Average Speed Enforcement (ASE) - these have not satisfactorily mitigated the speeding problem associated with minibus taxis. Looking at alternative measures in the form of incentives, this paper seeks to investigate the financial benefits to minibus taxi drivers as a result of fuel savings due to speed limit compliance and safe driving. Although it is observed from the results that minibus taxi drivers do not currently take advantage of fuel-saving driving patterns, it is also proven that, based on their current driving patterns, these drivers could potentially increase their remuneration per weekend by as much as 173% should they comply with posted speed limits. © 2019 IEEE."
"Melaragno A.; Bandara K.R.D.S.; Fewell A.; Wijesekera D.","Melaragno, Anthony (58038967600); Bandara, K.R. Damindra S. (56715469500); Fewell, Ajay (57191965730); Wijesekera, Duminda (6603774480)","58038967600; 56715469500; 57191965730; 6603774480","Rail Radio Intrusion Detection System (RRIDS) for Communication Based Train Control (CBTC)","2016","2016 IEEE International Conference on Intelligent Rail Transportation, ICIRT 2016","10.1109/ICIRT.2016.7588548","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995514080&doi=10.1109%2fICIRT.2016.7588548&partnerID=40&md5=d31a45ce9158f051128af8d6eced94ec","Control systems for trains, such as the European Traffic Management System (ERTMS), Shinkansen (Japan), Advanced Civil Speed Enforcement System II (ACSESII) (Amtrak in USA), and Interoperable Electronic Train Management System (IETMS) (USA) use Communication Based Train Control (CBTC) and future Software Defined Radio (SDR) technologies in the communication framework to command and control train movements and relay advisory messages. The commands and advisories provided to the locomotive represent signal aspects, stops, speed limits, and track conditions. Once received, the locomotive performs appropriate actions to ensure safe navigation. CBTC networks that utilize SDR technologies may be subject to cyber security attacks which would compromise safe navigation of trains and possibly lead to collisions with other trains or endanger railroad workers. As a solution, Rail Radio Intrusion Detection System (RRIDS) is introduced to detect and deter cyber attacks such as: command replay, guessing, and message corruption attacks. RRIDS is a rail command specific IDS designed for locomotive and beacon communications security. RRIDS performs intrusion detection in near real time. Presented in this work is the design, theory, and experimental results describing the effectiveness and performance of RRIDS against a hypothetical attacker. © 2016 IEEE."
"Riggins G.; Bertini R.L.; Ackaah W.; Bogenberger K.","Riggins, Gary (57192179206); Bertini, Robert L. (57220765147); Ackaah, Williams (36514198200); Bogenberger, Klaus (14070106400)","57192179206; 57220765147; 36514198200; 14070106400","Measurement and assessment of driver compliance with variable speed limit systems: Comparison of the United States and Germany","2016","Transportation Research Record","10.3141/2554-09","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015445532&doi=10.3141%2f2554-09&partnerID=40&md5=edeec310bb5bef5f90ab66a6187f444d","Active traffic management (ATM) systems are becoming increasingly important, particularly in urban areas aiming to combat recurrent and nonrecurrent congestion. ATM systems apply proactive strategies to improve safety and mobility, as well as to reduce emissions, noise, and fuel consumption. As one of the key elements in the ATM toolbox, variable speed limit (VSL) systems are being increasingly deployed around the United States. In the past, most VSL systems in Europe have included automated enforcement as part of the system, while systems in the United States have relied on traditional speed enforcement strategies. In the Portland, Oregon, metropolitan area, a new traffic-and weather-responsive VSL system has been deployed. It uses variable advisory speeds (VAS), allowing law enforcement to rely on the basic rule for enforcement. Thanks to the availability of high-resolution intelligent transportation systems data, it is possible to conduct post hoc analysis after VSL deployments. This paper focuses on driver compliance with displayed VAS messages. ""Compliance"" is defined as the difference between the displayed speed and the measured speed of traffic. In addition to analyzing more than 35 days at the Portland site, for comparison purposes, some additional analysis of a VSL site in Munich, Germany, is also included. The analysis of compliance for VSL-VAS deployments is useful for understanding the benefits of these important ATM strategies, assisting with targeting enforcement actions, and better understanding where and when to employ VSL-VAS systems. © 2016, National Research Council. All rights reserved."
"Yu J.H.; Hong J.H.; Kim J.S.; Lee D.Y.; Jeon J.W.","Yu, Jae Ho (55519918900); Hong, Ji Heon (24174300100); Kim, Jin Seop (36967477000); Lee, Dong Yeop (55830492000); Jeon, Jeong Woo (57200320825)","55519918900; 24174300100; 36967477000; 55830492000; 57200320825","Pitching analysis of body variables according to ball velocity in amateur baseball pitchers using gyro sensor","2018","Medico-Legal Update","10.5958/0974-1283.2018.00058.0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044469835&doi=10.5958%2f0974-1283.2018.00058.0&partnerID=40&md5=b0009ddd908aa83a964069af14ec5065","Background/Objectives: The purpose of this study was to examine the correlation of ball velocity with body variables in eight amateur baseball pitchers. Methods/Statistical analysis: Eight amateur baseball pitchers (over-arm pitchers) participated in the study. Body variables were measured using wearable gyro sensors while they were fastball pitching. MVN system can measure kinematic of whole body using inertial sensor. The velocity of the ball was measured using a speed gun.The Pearson correlation coefficient was used to analyze the correlation between pitch velocity and body variables.Significance levels were set at p<0.05. Findings: Ball velocity significantly correlated with the horizontal abduction and abduction of shoulder, trunk rotation angular velocity, stride length (p<0.05). However, no significant correlations were observed in trunk rotation angle (anterior and posterior), foot direction (p>0.05).Greater shoulder horizontal abduction during pitching motion has effective pre-stretch, stored elastic energy and tendons may be utilized during arm cocking and arm acceleration phase of pitch. As increased trunk rotation angular velocity, levels of trunks action develop more advanced and led to increases in energy transfer to the pitching arm. For stride length, it is regarded a not only critical kinematic factor for determine the timing of kinetic chain events but also transitioning energy to the pitching arm from lower extremity. In this study, we can compare with previous studies on pitching motion kinematics. Also previous studies on pitching motion analysis were mainly 3D camera based techniques. In this study, it is meaningful to analyze the pitching motion by using Gyro sensor which complements the limitation that 3D camera technique can have. Improvements/Applications: Horizontal abduction and abduction of shoulder, trunk rotation angular velocity and stride length should be considered to increase the ball velocity, which is an important ability of the pitcher. © 2018, World Informations Syndicate. All rights reserved."
"Bassani M.; Cirillo C.; Molinari S.; Tremblay J.-M.","Bassani, Marco (26532382800); Cirillo, Cinzia (58731175200); Molinari, Serena (57189340522); Tremblay, Jean-Michel (56381014800)","26532382800; 58731175200; 57189340522; 56381014800","Random effect models to predict operating speed distribution on rural two-lane highways","2016","Journal of Transportation Engineering","10.1061/(ASCE)TE.1943-5436.0000844","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969504644&doi=10.1061%2f%28ASCE%29TE.1943-5436.0000844&partnerID=40&md5=5ea5e9c030b93d913a116a19f3cca68e","This paper presents the results obtained from the estimation of free-flow speed on two-lane rural highways. The data used for the analysis were collected in Northwest Italy using video cameras and a laser speed gun. The model structure adopted separates the estimate of the central tendency of speeds from the typical deviations of individual speeds. Hence, in the model, the same set of variables can be used to determine both the mean value and the standard deviation of the speed distribution; the desired speed percentile is then calculated by considering the associated standard normal random variable (Z). Random effects (RE) were included in the model to account for the variability in time and space of the data that contain multiple measurements for the same road/section/direction and to remove any dependency between estimation errors from individual observations. © 2016 American Society of Civil Engineers."
"Mandava M.; Gammenthaler R.S.; Hocker S.F.","Mandava, Mahendra (57208479872); Gammenthaler, Robert S. (57208482111); Hocker, Steven F. (57208490116)","57208479872; 57208482111; 57208490116","Vehicle Speed Enforcement Using Absolute Speed Handheld Lidar","2018","IEEE Vehicular Technology Conference","10.1109/VTCFall.2018.8690893","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064949849&doi=10.1109%2fVTCFall.2018.8690893&partnerID=40&md5=8de104842191a2fb088486cb77becb7c","Commonly used handheld Lidars for traffic speed enforcement measure relative speed and not absolute speed. The underreporting of the actual vehicle speeds, called the cosine effect, provides offending drivers an inordinate amount of benefit of doubt, thereby increasing the propensity of aggressive drivers aware of this limitation to push farther above the speed limit. This paper presents two approaches to augment these devices by calculating the absolute speed. The manual mode approach uses an additional intermediate measurement and geometric calculation, whereas the automatic mode makes use of MEMS sensor(s) to calculate the tangential velocity component as an intermediate step. The goal is to provide traffic speed enforcers tools that ultimately lead to safer roadways. This can be applied to other motorized transport scenarios as well. © 2018 IEEE."
"Jateikienė L.; Vaitkus A.","Jateikienė, Laura (57191542802); Vaitkus, Audrius (30767849600)","57191542802; 30767849600","Average speed enforcement system efficiency assessment model","2017","Baltic Journal of Road and Bridge Engineering","10.3846/bjrbe.2017.08","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018493223&doi=10.3846%2fbjrbe.2017.08&partnerID=40&md5=162d13e4301f51c0fc3fd59eac426933","Accidents are one of the leading cause of death all over the world. Speed has been identified as a factor in road accidents, influencing both the risk of accidents and the severity of the accidents. However, speeding is one of :he most frequent violations of traffic rules by the road users. Many results of studies showed that the implementation of speed cameras significantly reduced the vehicle speed and the number of accidents near camera sites. One issue regarding speed enforcement by a speed camera is that a reduction in speed is obtained only on a short section of a road. The results of scientific research analysis suggest that this issue can be overcome by the employment of average speed enforcement system (hereafter system), which is a relatively new approach to traffic law enforcement. Until now, Lithuania had no methodology for selecting road sections to be installed with the system. The purpose of this paper is to develop a model for the assessment of safety impact of the system and to perform economic estimation of a system of Lithuanian main road sections selected under this model. The analysis of international practice helped to develop this model, which joins accident indicators, road and traffic parameters. A cost-benefit analysis of the system, implemented on main road sections and selected by suggested model, shows a high level of payback. The implementation of the system would pay back in one year of service. © 2017 Vilnius Gediminas Technical University (VGTU) Press Technika."
"Kumphong J.; Satiennam T.; Satiennam W.","Kumphong, Jetsada (57193029628); Satiennam, Thaned (56181230000); Satiennam, Wichuda (56181572300)","57193029628; 56181230000; 56181572300","A correlation of traffic accident fatalities, speed enforcement and the gross national income of thailand and its cross-border countries","2016","International Journal of Technology","10.14716/ijtech.v7i7.4706","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010210770&doi=10.14716%2fijtech.v7i7.4706&partnerID=40&md5=29a05e11261733ecab7742f0b93240b5","Currently, the ASEAN Community has opened and this has resulted in the expansion of the road network between member countries, making it more convenient to drive crossing the border. However, the difference in laws relating to the speed limits and their enforcement may result in drivers unknowingly violating the laws in each country, leading to an increased risk of accidents. This research aims to determine the statistical correlation between the traffic accident fatalities, the enforcement of speed limits with the gross national incomes of Thailand and its cross-border countries. Linear and non-linear regression analyses were applied to develop models explaining their correlations at 95% confidence level. The results indicated that those countries with higher efficiency in enforcement on speeding laws and greater gross national income have a lower rate of traffic accident fatalities. The results of this study are useful for responsible agencies to determine the required traffic safety strategies in order to reduce the number of traffic accidents within ASEAN countries. © IJTech 2016."
"Schechtman E.; Bar-Gera H.; Musicant O.","Schechtman, Edna (6701610090); Bar-Gera, Hillel (22952775500); Musicant, Oren (23568377600)","6701610090; 22952775500; 23568377600","Driver views on speed and enforcement","2016","Accident Analysis and Prevention","10.1016/j.aap.2015.12.028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954312835&doi=10.1016%2fj.aap.2015.12.028&partnerID=40&md5=07f06e55e5925aa45655ab71c270213c","This paper reports on the results of a drivers' survey regarding the effects of speed cameras for speed enforcement in Israel. The survey was part of a larger study that accompanied the introduction of digital speed cameras. Speed camera deployment started in 2011, and till the end of 2013 twenty-one cameras were deployed in interurban road sections. Yearly surveys were taken between 2010 and 2013 in 9 gas stations near speed camera installation sites in order to capture drivers' opinions about speed and enforcement. Overall, 1993 drivers were interviewed. In terms of admitted speed behavior, 38% of the drivers in 2010, 21% in 2011, 13% in 2012 and 11% in 2013 reported that their driving speed was above the perceived posted speed limit. The proportion of drivers indicating some speed camera influence on driving decreased over the years. In addition, the majority of drivers (61%) predicted positive impact of speed cameras on safety. This result did not change significantly over the years. The main stated explanation for speed limit violations was time pressure, while the main stated explanation for respecting the posted speed was enforcement, rather than safety concerns. Linear regression and sigmoidal models were applied to describe the linkage between the reported driving speed (dependent) and the perceived posted speed (independent). The sigmoidal model fitted the data better, especially at high levels of the perceived posted speeds. That is, although the perceived posted speed increased, at some point the actual driving speed levels off (asymptote) and did not increase. Moreover, we found that the upper asymptote of the sigmoidal model decreased over the years: from 113.22 (SE = 18.84) km/h in 2010 to 88.92 (SE = 1.55) km/h in 2013. A wide variance in perceived speed limits suggest that drivers may not know what the speed limits really are. © 2016 Elsevier Ltd. All rights reserved."
"Elvik R.","Elvik, Rune (7005655759)","7005655759","Speed enforcement in Norway: Testing a game-theoretic model of the interaction between drivers and the police","2015","Accident Analysis and Prevention","10.1016/j.aap.2015.08.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940918179&doi=10.1016%2fj.aap.2015.08.017&partnerID=40&md5=4e0814ef0bc80bd3a9c474ab6f2f1942","This paper probes the relationship between changes in the risk of apprehension for speeding in Norway and changes in the amount of speeding. The paper is based on a game-theoretic model of how the rate of violations and the amount of enforcement is determined by the interaction between drivers and the police. This model makes predictions both about how drivers will adapt to changes in the amount of enforcement (the more enforcement, the less violations) as well as how the police will adapt to changes in the rate of violations (the less violations, the less enforcement). The paper attempts to test the game-theoretic model empirically. Testing the model rigorously is difficult, mainly because some of the relevant variables are not reliably measured and are endogenous. Two models were developed: one to identify sources of changes in the rate of violations, one to identify sources of changes in the amount of enforcement. The predictions of the game-theoretic model were supported, although the results were not statistically significant in the model of how the police adapt enforcement to changes in the rate of violations. © 2015 Elsevier Ltd. All rights reserved."
"Lee Y.Y.; Fang E.; Weng Y.; Ganapathy S.","Lee, Yue Yen (57201740215); Fang, Eric (57201740718); Weng, Yanyi (58457353800); Ganapathy, Sashikumar (57190025613)","57201740215; 57201740718; 58457353800; 57190025613","Road traffic accidents in children: The ‘what’, ‘how’ and ‘why’","2018","Singapore Medical Journal","10.11622/smedj.2017114","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046018212&doi=10.11622%2fsmedj.2017114&partnerID=40&md5=44a482f5f27cc72b3580600cbda7791f","INTRODUCTION Road traffic accidents (RTAs) in Singapore involving children were evaluated, with particular focus on the epidemiology, surrounding circumstances and outcomes of these accidents. Key factors associated with worse prognosis were identified. We proposed some measures that may be implemented to reduce the frequency and severity of such accidents. METHODS This was a retrospective study of RTAs involving children aged 0-16 years who presented to the Children’s Emergency at KK Women’s and Children’s Hospital, Singapore, from January 2011 to June 2014. Data was obtained from the National Trauma Registry and analysed in tiers based on the Injury Severity Score (ISS). RESULTS A total of 1,243 accidents were reviewed. RTA victims included motor vehicle passengers (60.4%), pedestrians (28.5%), cyclists (9.9%) and motorcycle pillion riders (1.2%). The disposition of emergency department (ED) patients was consistent with RTA severity. For serious RTAs, pedestrians accounted for 63.6% and 57.7% of Tier 1 (ISS > 15) and Tier 2 (ISS 9-15) presentations, respectively. Overall use of restraints was worryingly low (36.7%). Not restraining increased the risk of serious RTAs by 8.4 times. Young age, high ISS and low Glasgow Coma Scale score predicted a longer duration of intensive care unit stay. CONCLUSION The importance of restraints for motor vehicle passengers or helmets for motorcycle pillion riders and cyclists in reducing morbidity requires emphasis. Suggestions for future prevention and intervention include road safety education, regulation of protective restraints, use of speed enforcement devices and creation of transport policies that minimise kerbside parking. © 2018, Singapore Medical Association. All rights reserved."
"Bowden V.K.; Loft S.; Tatasciore M.; Visser T.A.W.","Bowden, Vanessa K. (56305703500); Loft, Shayne (7006963522); Tatasciore, Monica (57191402472); Visser, Troy A.W. (7202516440)","56305703500; 7006963522; 57191402472; 7202516440","Lowering thresholds for speed limit enforcement impairs peripheral object detection and increases driver subjective workload","2017","Accident Analysis and Prevention","10.1016/j.aap.2016.09.029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989869715&doi=10.1016%2fj.aap.2016.09.029&partnerID=40&md5=529241ae67f540b4ad51375274a5a317","Speed enforcement reduces incidences of speeding, thus reducing traffic accidents. Accordingly, it has been argued that stricter speed enforcement thresholds could further improve road safety. Effective speed monitoring however requires driver attention and effort, and human information-processing capacity is limited. Emphasizing speed monitoring may therefore reduce resource availability for other aspects of safe vehicle operation. We investigated whether lowering enforcement thresholds in a simulator setting would introduce further competition for limited cognitive and visual resources. Eighty-four young adult participants drove under conditions where they could be fined for travelling 1, 6, or 11 km/h over a 50 km/h speed-limit. Stricter speed enforcement led to greater subjective workload and significant decrements in peripheral object detection. These data indicate that the benefits of reduced speeding with stricter enforcement may be at least partially offset by greater mental demands on drivers, reducing their responses to safety-critical stimuli on the road. It is likely these results under-estimate the impact of stricter speed enforcement on real-world drivers who experience significantly greater pressures to drive at or above the speed limit. © 2016 Elsevier Ltd"
"Sobrino N.; Monzon A.","Sobrino, Natalia (55985233600); Monzon, Andres (35782062100)","55985233600; 35782062100","Towards low-carbon interurban road strategies: Identifying hot spots road corridors in Spain","2018","Sustainability (Switzerland)","10.3390/su10113963","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055857293&doi=10.3390%2fsu10113963&partnerID=40&md5=9f103fd35de791d2e9dd014c67f89cd0","Reducing traffic emissions is key in transport planning and infrastructure management in order to achieve a sustainable transport system. This paper contributes to this topic in two ways. The first step describes a comprehensive methodology for identifying hot spots road segments and corridors with problems of GHG emissions to enable low-carbon actions. The Highway Energy Assessment (HERA) methodology is applied to the national road network of Spain in order to estimate interurban traffic emissions and calculate the emissions index to assess strategies. The results are shown graphically on a GIS, allowing to identify seven corridors with emissions problems comprising 25% of the network and being responsible for 51% of the total GHG emissions in 2012. Inefficient corridors were those with high rates of heavy vehicles, high speeds and steep gradients. The second step consists of the application of a set of strategies to reduce their emissions and their comparison to the reference scenario. The Mediterranean corridor-the most inefficient corridor-was selected to apply a set of abatement strategies. The most effective strategy was speed enforcement for light vehicles. A speed reduction of 10 km/h could produce a 3.5% savings in emissions compared to the reference scenarios, and decrease emissions intensity from 254 gCO2eq/veh-km to 246 gCO2eq/veh-km. © 2018 by the authors."
"Li R.; El-Basyouny K.; Kim A.; Gargoum S.","Li, Ran (58992201200); El-Basyouny, Karim (14832701400); Kim, Amy (35203481800); Gargoum, Suliman (57189216298)","58992201200; 14832701400; 35203481800; 57189216298","Relationship between road safety and mobile photo enforcement performance indicators: A case study of the city of Edmonton","2017","Journal of Transportation Safety and Security","10.1080/19439962.2016.1173154","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983735906&doi=10.1080%2f19439962.2016.1173154&partnerID=40&md5=2e72cb70e899db376574cc273a640f9e","Mobile photo enforcement (MPE) programs are commonly implemented to regulate speed and improve road safety. However, most previous research focuses mainly on validating the safety effects of MPE, with very minimal discussion on the enforcement performance indicators (EPIs). Therefore, the goal of this study is to provide a better understanding of the relationship between the three selected EPIs (number of enforced sites, average check length, and number of issued tickets) and the program's safety outcomes. In total, 8 years (2005–2012) of monthly citywide data were collected and used in a generalized linear Poisson model. The results show that as the number of enforced sites and issued tickets increased, the number of speed-related collisions decreased. Also, as the average check length decreased, a greater reduction of speed-related collisions was observed. These results indicate that collision reductions were associated with a MPE program that promoted: higher spatial coverage (i.e., more enforceable locations), more frequent checks (i.e., shorter average check length), and more issued tickets. The marginal effects of enforcing 100 sites and issuing 10,000 tickets per month were calculated to be 47 and 140 fewer speed-related collisions, respectively. © 2017 Taylor & Francis Group, LLC and The University of Tennessee."
"Cairns J.; Galloway A.M.; McPherson N.A.","Cairns, Jonathan (57191754693); Galloway, Alex M. (36998405900); McPherson, Norrie A. (55940495000)","57191754693; 36998405900; 55940495000","Identification of key GMAW fillet weld parameters and interactions using artificial neural networks","2016","Welding and Cutting","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992704027&partnerID=40&md5=49383b74ac131d70652d541cad550bc9","Fillet welds are one of the most commonly used weld joints but one of the most difficult to weld consistently. This paper presents a technique using Artificial Neural Networks (ANN) to identify the key Gas Metal Arc Welding (GMAW) fillet weld parameters and interactions that impact on the resultant geometry, when using a metal cored wire. The input parameters to the model were current, voltage, travel speed, gun angle and travel angle and the outputs of the model were penetration and leg length. The model was in good agreement with experimental data collected and the subsequent sensitivity analysis showed that current was the most influential parameter in determining penetration and that travel speed, followed closely by current and voltage were most influential in determining the leg length. The paper also concludes that a 'pushing' travel angle is preferred when trying to control the resultant geometry mainly because both the resultant leg length and penetration appear to be less sensitive to changes in heat input."
"Warghade V.P.; Deshpande M.S.","Warghade, Vasant P. (57204113763); Deshpande, Mangesh S. (24829206300)","57204113763; 24829206300","Road Traffic Condition Estimation Based on Road Acoustics","2017","2017 International Conference on Computing, Communication, Control and Automation, ICCUBEA 2017","10.1109/ICCUBEA.2017.8463797","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054543504&doi=10.1109%2fICCUBEA.2017.8463797&partnerID=40&md5=9363f0d5cce82a03c3e85045e99f8136","Traffic density estimation is a big challenge in different cities in India for automatic traffic signaling system. Various techniques based on computer vision and image processing are proposed to address these issue. In some techniques costly sensors like magnetic loops, speed guns are also used. In this paper, a simple approach based on road acoustics is proposed to estimate the traffic density and to classify it into three categories as free, medium and jammed. The proposed technique is cost effective as it uses a very low cost omni-directional microphone. MFCC features are extracted from the acoustic signals and three different classifiers are used to classify the traffic density. The experimental evaluation shows that, MFCC features and vector quantization yields the best results for better classification. © 2017 IEEE."
"Čygaitė L.; Jasiūniene V.; Žolynas A.","Čygaitė, Laura (55956297600); Jasiūniene, Vilma (35098930700); Žolynas, Andrius (56404686900)","55956297600; 35098930700; 56404686900","The analysis of implementation possibilities of sectorial automated vehicle speed control systems on the roads of Lithuania","2014","Baltic Journal of Road and Bridge Engineering","10.3846/bjrbe.2014.17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908574026&doi=10.3846%2fbjrbe.2014.17&partnerID=40&md5=a85e2dc0723ae87573671ea6b407f1b6","Excess speed is one of the largest road safety problems causing the increased risk of road crashes. A wide range of safety improvement measures, both educational and engineering, are being implemented to solve this problem. The main objective of those measures is to force vehicle drivers to observe the speed limit requirements and to ensure enforcement of speed requirements. This paper gives an overview of the impact of vehicle speeds on road safety and the effect of safety improvement measures. Possibilities for the implementation of sectorial vehicle speed enforcement system on the roads of national significance of Lithuania are presented. The paper contains criteria for the selection of road sections of Lithuania where the sectorial vehicle speed enforcement system could be installed. The amount of investments is also given necessary for the installation of sectorial vehicle speed enforcement system on the selected road sections as well as their one-year maintenance. Taking into consideration the damage incurred by the country due the people killed on roads a pay-back period of the sectorial vehicle speed enforcement system is determined. © 2014 Vilnius Gediminas Technical University (VGTU) Press Technika."
"","","","IET Conference Publications","2014","IET Conference Publications","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84914132633&partnerID=40&md5=64e6e4af07889ba076fb59b9a9f0f249","The proceedings contain 23 papers. The topics discussed include: traffic signal priority for buses; simultaneous measurements of 802.11p network performance and radio propagation characteristics at 5.9 GHz; a new policy tool: dynamic pricing of on-street parking; public transport optimization based on traveler requests and network efficiency; e-paper public transport information system; saving our wallets and our health with traffic control and sensible incentives; semi-automated heavy vehicle platoons on UK motorways; next generation traffic information services; national transport management in Sweden; calibration of smart motorways and comparison of two schemes; and a detailed review of the A614 average speed enforcement system."
"Halim S.; Jiang H.","Halim, Siana (23974215900); Jiang, Heming (55753702100)","23974215900; 55753702100","The effect of Operation 24 Hours on reducing collision in the City of Edmonton","2013","Accident Analysis and Prevention","10.1016/j.aap.2013.04.031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878444949&doi=10.1016%2fj.aap.2013.04.031&partnerID=40&md5=5538d44415f918e56b7ed4edc6a20bbe","In the City of Edmonton, in order to reduce the prevalence of collisions, the Operation 24 Hours program (OPS24) was developed by using existing police and transportation services resources. The program uses traditional manned police speed enforcement method, which are supplemented by traffic safety messages displayed on permanent and mobile dynamic messaging signs (DMS). In this paper, collision data analysis was performed by looking at the daily number of collisions from 2008 to 2011 that covers 28 Operation 24 Hours (OPS24) events. The objective of the collision data analysis is to analyze if there is a reduction in collision frequencies after OPS24 was held and examined how long the collision reduction effect last. Weather factors such as temperature, thickness of snow, and wind gust have been considered by many as a great influence on collision occurrences, especially in a city with long and cold winter such as Edmonton. Therefore, collision modeling was performed by considering these external weather factors. To analyze the linear and periodic trend of different collision types (injury, fatal, and property damage only (PDO)) and examine the influence of weather factors on collisions, negative binomial time series model that accounts for seasonality and weather factors was used to model daily collision data. The modeling also considered collision proportion to account for missing traffic volume data; the Gaussian time series model that accounts for seasonality and weather factors was used to model collision proportion. To estimate the collision trend and test for changes in collision levels before/after OPS24, interrupted time series model with segmented regression was used. While for estimating how long the effect of the OPS24 last, change point method was applied. © 2013 Elsevier Ltd. All rights reserved."
"Luoma J.; Rajamäki R.; Malmivuo M.","Luoma, Juha (7003334577); Rajamäki, Riikka (50061661900); Malmivuo, Mikko (6505520233)","7003334577; 50061661900; 6505520233","Effects of reduced threshold of automated speed enforcement on speed and safety","2012","Transportation Research Part F: Traffic Psychology and Behaviour","10.1016/j.trf.2012.01.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856787314&doi=10.1016%2fj.trf.2012.01.002&partnerID=40&md5=0d9fcbc93c344e18bf26fef672560b93","This study was designed to evaluate the effects of a reduced threshold of the fixed automated speed enforcement system on speed and safety on a two-lane rural road. The threshold was lowered from 20 km/h to 4 km/h and the public was informed about the change. Driving speeds on the experimental and control road before and after the change were compared. The main results showed that the reduced threshold decreased the mean speed by 2.5 km/h, the standard deviation of speed by 1.1 km/h and the proportion of exceeding vehicles by 11.8 percentage units. In conclusion, lowering the threshold of automated speed enforcement combined with an appropriate information campaign bring about a significant speed reduction that could contribute to substantial safety benefits. © 2012 Elsevier Ltd. All rights reserved."
