"DOI","Link","Author Keywords","Index Keywords"
"10.21660/2019.56.4746","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072869775&doi=10.21660%2f2019.56.4746&partnerID=40&md5=7018071fff81f025864d6df7a919844f","Motorcycle; Speed; Speed enforcement cameras; Urban arterial",""
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016805470&partnerID=40&md5=a2de837b055cce0c4297d6061b50de2d","","Fluid mechanics; Hydraulic structures; Hydraulics; Motor transportation; Roads and streets; Safety factor; Shore protection; Speed; Average speed; Geometry characteristics; Road geometry; Safety analysis; Speed measurement; Statistical efficiency; Traffic organization; Variance analysis; Safety engineering"
"10.1109/SCSP.2018.8402659","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050274969&doi=10.1109%2fSCSP.2018.8402659&partnerID=40&md5=0848c9ed5707b1b5ddde2ad1a466a6de","intersections; Red light cameras; traffic volume; violations","Cameras; Intersections; Law enforcement; Smart city; Red light; Red-light cameras; Red-light running; Red-light violations; Traffic intensity; Traffic volumes; Traffic-related; violations; Security systems"
"10.3141/2660-09","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033779646&doi=10.3141%2f2660-09&partnerID=40&md5=2f8f8de6739dac635c62a298ffcc18e8","","'current; Health crisis; Interactive surveys; Public acceptance; Safety benefits; Speed reduction; Surveys"
"10.1051/matecconf/201818104002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055353959&doi=10.1051%2fmatecconf%2f201818104002&partnerID=40&md5=32c2a6cdea9568cb69cfe7c3cac32dd6","","Developing countries; Housing; Roads and streets; Data collection; Light vehicles; Maximum speed; Observation Period; Pedestrian fatalities; Portable speed; Road segments; Speed reduction; Speed"
"10.1016/j.jsr.2015.08.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946564042&doi=10.1016%2fj.jsr.2015.08.007&partnerID=40&md5=44544e68047085b57b1583486628907a","France; Interrupted time series; Punishment avoidance; Speed cameras; Traffic casualties","Accidents, Traffic; France; Humans; Law Enforcement; Photography; Safety; Trauma Severity Indices; Wounds and Injuries; Cameras; Crashworthiness; Roads and streets; Time series; Vehicles; Enforcement programs; France; Passenger vehicles; Punishment avoidance; Red-light cameras; Road users; Speed cameras; Traffic fatalities; France; human; injury scale; law enforcement; mortality; photography; prevention and control; procedures; safety; statistics and numerical data; traffic accident; Wounds and Injuries; Time series analysis"
"10.1016/j.scispo.2016.03.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964311309&doi=10.1016%2fj.scispo.2016.03.001&partnerID=40&md5=3ee00e71ecde0e4c13bb70154244506a","Execution speed; Isokinetic; Shoulder","Article; controlled study; female; human; isokinetic exercise; major clinical study; male; patient assessment; priority journal; rotator cuff; shoulder disease; velocity"
"10.1016/j.tra.2016.02.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959344194&doi=10.1016%2fj.tra.2016.02.008&partnerID=40&md5=3797d969462f00c9f73a33a82bfd0690","Automated speed enforcement (ASE) guidelines; Geographic Information System (GIS); Mobile photo enforcement (MPE) program; Quantitative measures; Resource allocation","Automation; Decision making; Information systems; Information use; Law enforcement; Resource allocation; Alberta , Canada; Automated speed enforcement (ASE) guidelines; Enforcement programs; Mobile photo enforcement (MPE) program; Performance measure; Program effectiveness; Quantitative interpretation; Quantitative measures; GIS; guideline; law enforcement; mobile communication; quantitative analysis; resource allocation; traffic management; Geographic information systems"
"10.1016/j.trpro.2016.05.479","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991389252&doi=10.1016%2fj.trpro.2016.05.479&partnerID=40&md5=931571aab8bf93eab318e6f17d759886","diagnosis; key actions; programmes assessment; road safety; road safety models; Vision Zero",""
"10.1016/S2214-109X(18)30107-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045202047&doi=10.1016%2fS2214-109X%2818%2930107-4&partnerID=40&md5=82812fe81c87fd149a77bb88762cba42","","Accidents; Global Health; Humans; Poverty; Wounds and Injuries; Article; burn; clinical assessment; clinical effectiveness; death; drowning; falling; human; income; injury; intoxication; Monte Carlo method; mortality; priority journal; socioeconomics; systematic review; traffic accident; accident; global health; injury; poverty; statistics and numerical data"
"10.3141/2555-01","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976277559&doi=10.3141%2f2555-01&partnerID=40&md5=c26e33cb50a00ae0de31a907f36f21b4","","Hierarchical systems; Highway accidents; Highway engineering; Crash data; Driver injury; Hierarchical model; Highway infrastructure; Injury severity; Lane closures; Periodic maintenance; Pre crashes; Work zone crashes; Work zones; Digital storage"
"10.1109/MTITS.2015.7223283","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951075062&doi=10.1109%2fMTITS.2015.7223283&partnerID=40&md5=ec36474a0be0de12033e3b404d0a997a","ANPR; average speed limit; speed enforcement","Automatic vehicle identification; Intelligent systems; Speed; Transportation; ANPR; Automatic Number Plate Recognition systems; Average speed; Instrumented cars; Instrumented vehicle; Nonstationary; Speed limit; University campus; Intelligent vehicle highway systems"
"10.1007/978-981-13-1328-8_81","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058326384&doi=10.1007%2f978-981-13-1328-8_81&partnerID=40&md5=02106456c3d78b3facdca9b818b7074d","Automated speed enforcement camera; Continuous risk profile; Traffic accident; Urban area","Automation; Highway accidents; Speed; Urban growth; K-means; Major elements; Risk profile; Temporal and spatial; Traffic enforcement; Traffic speed; Urban areas; Cameras"
"10.1016/j.trf.2017.01.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013844264&doi=10.1016%2fj.trf.2017.01.005&partnerID=40&md5=2a8df443ee9c1bf95266175eb3aa7f99","Deterrence theory; Protection motivation theory; Speed-enforcement location; Speed-enforcement warning messages; Type of speed enforcement; Young drivers","Cost benefit analysis; Law enforcement; Location; Motivation; Radar; Deterrence theory; Protection motivation theory; Type of speed enforcement; Warning messages; Young driver; Speed"
"10.1002/aqc.3106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066880943&doi=10.1002%2faqc.3106&partnerID=40&md5=5dcf89182a542ef0ef7527e7f7516c98","behaviour; habitat management; physiology; recreation; reptiles; river","Pearl River [United States]; United States; Graptemys oculifera; Reptilia; Testudines; air temperature; anthropogenic effect; behavioral response; body temperature; conservation status; endangered species; environmental factor; habitat management; physiology; population decline; recreational activity; reptile; river basin; thermoregulation; turtle"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055729167&partnerID=40&md5=4097c3234968395e35088062c2a84e8b","Accident; Governance; Police; Prevention; Traffic safety",""
"10.1088/0031-8949/91/2/023008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000352122&doi=10.1088%2f0031-8949%2f91%2f2%2f023008&partnerID=40&md5=eaac91f507c0d604691ff0c8e4c6074a","ball velocity; Doppler effect; projectile motion; radar guns; sports; tennis; trajectories",""
"10.1007/978-981-10-2398-9_24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007275657&doi=10.1007%2f978-981-10-2398-9_24&partnerID=40&md5=b3a4b923c7fca092945f064298c1e997","Deterrent effect; Distance halo effect; Fixed-site speed enforcement","Cameras; Decision making; Deterrent effect; Distance effects; Effective distance; Fixed site; Halo effect; Irrational decision makings; Speed behavior; Speed cameras; Speed"
"10.1093/bjc/azw075","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016303081&doi=10.1093%2fbjc%2fazw075&partnerID=40&md5=022c48e9e2247563d18e46b5c9427666","Crime control politics; Crowdsourced knowledge/resistance; Driving; Networked digital devices/data; Public criminology; Speed enforcement",""
"10.1111/mice.12164","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940703893&doi=10.1111%2fmice.12164&partnerID=40&md5=b91d3c8ff65540b5c10643e8e82f5bef","","Genetic algorithms; Safety engineering; Speed control; Cell transmission model; Computational procedures; Control strategies; Primary objective; Real-time crash risks; Stop-and-go traffic; Traffic operation; Variable speed limits; collision; computer aided design; control system; genetic algorithm; injury; motorway; optimization; transportation safety; Compliance control"
"10.1016/j.ptsp.2016.02.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975450560&doi=10.1016%2fj.ptsp.2016.02.007&partnerID=40&md5=e2bc7cb1967f8df10cf0dfe09408b951","Acceleration; Functional tests; Reactive strength; Stretch shorten cycle","Athletes; Athletic Performance; Humans; Lower Extremity; Male; Movement; Muscle Strength; Reproducibility of Results; Running; Young Adult; adult; Article; athletic performance; comparative study; controlled study; correlation analysis; correlation coefficient; exploratory research; horizontal drop jump; human; male; multiple regression; priority journal; reliability; rugby; soccer; sprint; stepwise multiple regression; vertical drop jump; athlete; athletic performance; lower limb; movement (physiology); muscle strength; physiology; reproducibility; running; young adult"
"10.1016/j.trf.2016.07.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994627207&doi=10.1016%2fj.trf.2016.07.011&partnerID=40&md5=b866c45ef8038d450f495562a4f4939d","Halo effect; Probe data; Road safety; Speed; Speed camera","Accident prevention; Cameras; Crashworthiness; Motor transportation; Probes; Roads and streets; Speed; Transportation; Urban growth; Vehicles; Camera installation; Double exponential model; Halo effect; Installation locations; Road safety; Speed cameras; Speed distributions; Technological development; Traffic congestion"
"10.1111/risa.13251","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058374021&doi=10.1111%2frisa.13251&partnerID=40&md5=473f0817b4fdb68e12175690bcfa790c","Before–after safety assessment; survival analysis; traffic safety","Accidents, Traffic; Algorithms; Automobile Driving; Bayes Theorem; Computer Simulation; Data Collection; Humans; New Jersey; Risk Assessment; Safety; Survival Analysis; New Jersey; United States; Random processes; Safety engineering; Enforcement programs; Safety assessments; Safety evaluations; Simulation studies; Survival analysis; Temporal heterogeneities; Traffic safety; Unobserved heterogeneity; assessment method; heterogeneity; methodology; model validation; safety; simulation; survival; traffic management; algorithm; Bayes theorem; car driving; computer simulation; human; information processing; New Jersey; prevention and control; procedures; risk assessment; safety; survival analysis; traffic accident; Bioinformatics"
"10.1080/15389588.2016.1189076","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985905529&doi=10.1080%2f15389588.2016.1189076&partnerID=40&md5=9762e5cabee560d42ebe64dbae8ffbaf","automated enforcement; crashes; public opinions; Speed cameras; speeds","Acceleration; Accidents, Traffic; Automobile Driving; Humans; Law Enforcement; Logistic Models; Maryland; Photography; Program Evaluation; Public Opinion; Wounds and Injuries; acceleration; car driving; human; law enforcement; legislation and jurisprudence; Maryland; mortality; photography; prevention and control; procedures; program evaluation; public opinion; statistical model; statistics and numerical data; traffic accident; Wounds and Injuries"
"10.1016/j.aap.2017.08.034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029559081&doi=10.1016%2fj.aap.2017.08.034&partnerID=40&md5=652be62e49832cb818608900a1fabcf0","Driving behaviour; Driving simulator; Speed selection; Structural equations","Accidents, Traffic; Adult; Age Factors; Aged; Attitude; Automobile Driving; Choice Behavior; Environment; Female; Humans; Male; Middle Aged; Models, Biological; Research Design; Risk Factors; Risk-Taking; Safety; Sex Factors; Young Adult; Motor transportation; Risk assessment; Roads and streets; Safety engineering; Simulators; Driving behaviour; Driving simulator; Individual characteristics; Structural equation modeling; Structural equations; Structural equations modeling; Structural equations modelling; Theoretical framework; adult; age; aged; attitude; biological model; car driving; decision making; environment; female; high risk behavior; human; male; methodology; middle aged; risk factor; safety; sex factor; traffic accident; young adult; Speed"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976633859&partnerID=40&md5=a8037aa9759c03b839a3a34949d8c1e4","Movement mechanism; Trajectory; Water-projectile test",""
"10.1136/injuryprev-2018-042912","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054485178&doi=10.1136%2finjuryprev-2018-042912&partnerID=40&md5=607a55296dab250a56e2bf56d9ac11de","automated speed enforcement; interrupted time series; pedestrian safety; school road safety","Accident Prevention; Accidents, Traffic; Automobile Driving; Humans; Interrupted Time Series Analysis; Law Enforcement; Photography; article; controlled study; human; linear regression analysis; outcome assessment; pedestrian; primary school; time series analysis; velocity; Washington; accident prevention; car driving; epidemiology; law enforcement; photography; prevention and control; procedures; traffic accident"
"10.1109/CONIIN.2016.7498124","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981513531&doi=10.1109%2fCONIIN.2016.7498124&partnerID=40&md5=205485cf31bdf7309f98db85e36d4345","buttons; field studies; road safety; speed bumps; Speeding; traffic calm zones","Fasteners; Highway accidents; Motor transportation; Roads and streets; Speed control; Transportation; buttons; Field studies; Road safety; Speed bumps; Speeding; Speed"
"10.1177/0361198119838841","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064574523&doi=10.1177%2f0361198119838841&partnerID=40&md5=d6b15b1614315f45afe4f7cdcabbe239","","Behavioral research; Numerical analysis; Piecewise linear techniques; Roads and streets; Cell transmission model; Complex task; Driver's behavior; Fundamental diagram; High heterogeneity; Mode of transport; Speed limit; Traffic flow modelling; Traffic rules; Traffic streams; Developing countries"
"10.1002/mcda.1658","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059465383&doi=10.1002%2fmcda.1658&partnerID=40&md5=5ff8cedabe7c5ec04a3c29e769755309","mobile photo enforcement programme planning; multiobjective optimization; Pareto front analysis; resource allocation; trade-off analysis",""
"10.1177/0361198119846104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065706303&doi=10.1177%2f0361198119846104&partnerID=40&md5=3dbcae683b003c0e5291f8d0bd6d3e91","","Fault tree analysis; Interoperability; Railroad transportation; Concepts of operations; Contributing factor; Fault tree analyses (FTA); High-level systems; Knowledge gaps; Passenger terminals; Property damage; Train management systems; Trains control; Type of risks; Cost effectiveness"
"10.1177/1754337115579607","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973464879&doi=10.1177%2f1754337115579607&partnerID=40&md5=1b416f1ad33e650157872646c0e0a639","Contact time; initial momentum; mean force; peak force; total impulse","Regression analysis; Reliability analysis; Weighing; Contact time; Initial momentum; Mean forces; Peak force; total impulse; Momentum"
"10.1016/j.net.2016.04.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992498963&doi=10.1016%2fj.net.2016.04.009&partnerID=40&md5=170f18af43b6c78cf8a8e6c4e5f8fe61","Domain Excess Field; Gamma Dose; Microwave Oscillator; Mobility; Neutron Fluence; Shelf Annealing; Transferred Electron Devices",""
"10.1016/j.aap.2018.08.029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052932613&doi=10.1016%2fj.aap.2018.08.029&partnerID=40&md5=504aaa8ea2028b3e01d7276f073900e8","Empirical-Bayes before-after analysis; Posted speed limits; Speed compliance; Speed enforcement","Accidents, Traffic; Automobile Driving; Bayes Theorem; Humans; Location Directories and Signs; Logistic Models; Montana; Accidents; Regression analysis; Rural roads; Empirical Bayes; Logistic regression models; Modification factors; Property damage only; Roadway characteristics; Speed limit; Speed limit compliance; Traffic characteristics; Bayes theorem; car driving; construction work and architectural phenomena; human; legislation and jurisprudence; Montana; prevention and control; psychology; statistical model; traffic accident; Speed"
"10.3390/safety3010001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056878646&doi=10.3390%2fsafety3010001&partnerID=40&md5=3b61be66f9d375e9da357dcfd51f262a","Field experiment; Speed control; Speed data; Speed display; Speed enforcement",""
"10.1016/j.scs.2019.101572","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065123597&doi=10.1016%2fj.scs.2019.101572&partnerID=40&md5=8002e094ccbaf8ceb51d2dd5f837deed","Geographic information system; Mobile photo enforcement; Multi-objective linear programming; Resource allocation","Accident prevention; Geographic information systems; Linear programming; Managers; Motor transportation; Multiobjective optimization; Optimal systems; Resource allocation; Roads and streets; Edmonton , Alberta; Efficient allocations; Mobile photo enforcement; Multi-objective linear programming; Optimal solutions; Performance outcome; Resource allocation model; Urban sustainability; Law enforcement"
"10.1007/s40999-016-0129-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042461413&doi=10.1007%2fs40999-016-0129-8&partnerID=40&md5=a804169b96a2f67f9b60c02fce318f9c","Electronic toll collection (ETC); Expressway; Lane change; Traffic safety; Vehicle speed trajectory","Accidents; Risk assessment; Speed; Toll highways; Vehicles; Electronic toll collection; Electronic toll collection systems; Expressway; Lane change; Safe operation; Speed trajectories; Traffic safety; Vehicle speed; Vehicle speed trajectory; Video recording"
"10.1177/0361198118790638","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060920838&doi=10.1177%2f0361198118790638&partnerID=40&md5=e1823e92ca83c050b2a7af1ff8778bad","","Traffic signals; Vehicles; Case-studies; Cycle length; Degree of saturations; Desired speed; Green waves; Signal timing; Traffic calming; Traffic micro simulations; Traffic signal control; Traffic signal coordinations; Speed"
"10.1007/978-3-319-73411-8_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047385117&doi=10.1007%2f978-3-319-73411-8_12&partnerID=40&md5=dd4930d3019455bde7ba18138992933a","",""
"10.1108/S2044-994120180000011011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064426566&doi=10.1108%2fS2044-994120180000011011&partnerID=40&md5=806fba25e299aec3f211c3c50dc8d912","Crosswalks; Elderly; Pedestrian; Safety; Speed",""
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061704949&partnerID=40&md5=e6b56f51cf8437e1d2335be50642141e","Chi-square test; GEH; Signalized intersection; Simulation; Traffic",""
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073556056&partnerID=40&md5=cb0cac90fe62aa33f285e075cbd0499a","Calibration and Validation; Micro-simulation models; VISSIM","Speed; Travel time; Vehicles; Calibration and validations; Calibration parameters; Empirical distributions; Measurable variables; Microsimulation models; Traffic micro simulations; Validation parameters; VISSIM; Calibration"
"10.1136/bmjsem-2017-000252","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050295802&doi=10.1136%2fbmjsem-2017-000252&partnerID=40&md5=495ea2ab3c8d7ad15dd11b43cba2f078","athletics; biomechanics; education; elite performance; sports analysis in different types of sports",""
"10.1016/j.aap.2018.01.030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041728992&doi=10.1016%2fj.aap.2018.01.030&partnerID=40&md5=1ad23afc28a55fb6dcbd95bdf18d6b6a","Highway worker safety; Police presence; Speed enforcement; Speeding; Traffic control methods; Work zone safety","Accidents, Traffic; Automobile Driving; California; Humans; Location Directories and Signs; Police; Safety; Workplace; Emergency vehicles; Highway traffic control; Law enforcement; Occupational risks; Radar; Speed; Speed control; Traffic control; Transportation; Vehicles; Devastating effects; Evaluation of methods; High speed vehicles; Measures of effectiveness; Southern California; Speeding; Work zone safety; Worker safety; California; car driving; construction work and architectural phenomena; human; organization and management; police; prevention and control; safety; traffic accident; workplace; Highway accidents"
"10.1139/cjce-2016-0125","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009724043&doi=10.1139%2fcjce-2016-0125&partnerID=40&md5=6dc0f1cbf387aadef564a57a8b276c22","Driver compliance; Speed education; Speed limit; Speed transition zones","Alberta; Canada; Edmonton; Compliance control; Driver training; Algorithm design; Driver compliance; Edmonton , Canada; Speed limit; Temporal and spatial variation; Traffic regulations; Transition zones; Variable speed limits; algorithm; mobility; real time; regression analysis; road transport; safety; spatiotemporal analysis; traffic management; transition zone; velocity profile; Speed"
"10.7307/ptt.v31i4.3060","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073530745&doi=10.7307%2fptt.v31i4.3060&partnerID=40&md5=5f928e492dca89c8514254b9d286ac16","Excessive speed; Heterogeneity of speed; Section speed control; Traffic management","Podlaskie; Poland [Central Europe]; accident prevention; control system; geometry; heterogeneity; road transport; traffic management; transportation policy"
"10.17159/2309-8775/2016/v58n4a1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014853678&doi=10.17159%2f2309-8775%2f2016%2fv58n4a1&partnerID=40&md5=8e18ef0f5e0599122f775f314471217b","Average speed; Control; Enforcement; Informal public transport; Minibus taxi; Passenger vehicle","Control; Crashworthiness; Motor transportation; Roads and streets; Taxicabs; Transportation; Vehicles; Average speed; Enforcement; Minibus taxi; Passenger vehicles; Public transport; Speed"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959017962&partnerID=40&md5=ae805e433648cbbd8cf9f9925ef5cba8","Background subtraction; Blob detection; Intelligent transportation system; Speed gun; Video processing",""
"10.1088/1757-899X/267/1/012027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037744296&doi=10.1088%2f1757-899X%2f267%2f1%2f012027&partnerID=40&md5=7aedd5c39a5a143def4ca5f5c4e7ee90","","Accident prevention; Motor transportation; Roads and streets; Safety engineering; Surveys; Transportation; Vehicles; Accident characteristics; Accident rate; Material loss; Primary data; Road safety analysis; Secondary datum; Traffic data; Vehicle travels; Accidents"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007173645&partnerID=40&md5=90ce57c8b993220f47603979770e1e8f","",""
"10.1016/j.jsr.2018.09.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054736827&doi=10.1016%2fj.jsr.2018.09.009&partnerID=40&md5=5c13078049402722512d071ca94d1681","Fatalities; Fatality Analysis Reporting System (FARS); Pedestrians","Accidents, Traffic; Automobiles; Darkness; Environment Design; Humans; Law Enforcement; Lighting; Linear Models; Motor Vehicles; Pedestrians; Safety; United States; Urban Population; Walking; Accidents; Roads and streets; Trucks; Urban transportation; Fatalities; Fatality analysis reporting systems; Motor vehicle crashes; Passenger vehicles; Pedestrian crashes; Pedestrian fatalities; Pedestrians; Transportation agencies; car; darkness; environmental planning; epidemiology; human; illumination; law enforcement; mortality; motor vehicle; pedestrian; safety; statistical model; traffic accident; United States; urban population; walking; Pedestrian safety"
"10.1515/ttj-2017-0011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018993828&doi=10.1515%2fttj-2017-0011&partnerID=40&md5=aab13e097627c448feaec5edab00b948","road safety; speed management strategy; strategic element; strategy adaptation",""
"10.1109/ICIEV.2015.7334014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961848430&doi=10.1109%2fICIEV.2015.7334014&partnerID=40&md5=68af81188ea15cb51d1e09b714169d96","","Information science; Smartphones; Telephone circuits; Telephone sets; Aquisitions; Ball trajectories; Image processing technique; Lateral directions; Near-real time; Small objects; Image processing"
"10.1080/19439962.2016.1275071","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017429667&doi=10.1080%2f19439962.2016.1275071&partnerID=40&md5=f12bfa0c37bc0ee82476ad2d64b03116","driving behaviour; experimental design; infrastructure design; simulation; speed selection",""
"10.1117/12.2513376","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062867043&doi=10.1117%2f12.2513376&partnerID=40&md5=dd81658891551cf4bdb0e16de1518f9e","3D tracking radar; actual traffic; light barrier; online test; piezoelectric film sensor; standard instrument; Traffic speed meter","Piezoelectricity; Precision engineering; Roads and streets; Speed indicators; Tracking radar; 3D tracking; Measuring instruments; Measuring performance; On-line tests; Piezoelectric film; Public roads; Traffic speed; Speed"
"10.1016/j.aap.2016.05.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974578046&doi=10.1016%2fj.aap.2016.05.023&partnerID=40&md5=f22b0de1aa02081a38d339acdfe236ca","Empirical bayes; Intersection camera; Photo enforcement; Safety before-after assessment; Safety effectiveness; Yearly calibration factor","Accidents, Traffic; Alberta; Automobile Driving; Bayes Theorem; Humans; Law Enforcement; Photography; Safety Management; Calibration; Cameras; Safety devices; Safety engineering; Site selection; Traffic control; Automated enforcement; Calibration factors; Collision reductions; Empirical Bayes; Intersection control; Photo enforcement; Regression to the means; Safety performance function; Alberta; Bayes theorem; car driving; devices; evaluation study; human; law enforcement; legislation and jurisprudence; photography; prevention and control; procedures; safety; statistics and numerical data; traffic accident; Safety factor"
"10.1109/ICTIS.2017.8047835","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032803065&doi=10.1109%2fICTIS.2017.8047835&partnerID=40&md5=4882f879cf98f04c6edbd1f74a507145","integer linear programming; mobile photo enforcement; resource scheduling; time halo effect","Law enforcement; Location; Multiobjective optimization; Optimization; Scheduling; Enforcement programs; Halo effect; Integer Linear Programming; mobile photo enforcement; Multiobjective programming; Optimization modeling; Resource-scheduling; Scheduling resources; Integer programming"
"10.1016/j.aap.2019.02.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062416672&doi=10.1016%2fj.aap.2019.02.002&partnerID=40&md5=8ffc5b5aa8b6c6d594f16c5df62e3eec","Camera enforcement; Fixed traffic camera; Mixed model; Photo enforcement; Quasi-experimental; Road injuries; Traffic violations","Accidents, Traffic; Automobile Driving; Colombia; Humans; Law Enforcement; Models, Statistical; Non-Randomized Controlled Trials as Topic; Photography; Motor transportation; Regression analysis; Roads and streets; Traffic signs; Mixed modeling; Photo enforcement; Quasi-experimental; Road injuries; Traffic camera; Traffic violation; car driving; Colombia; controlled clinical trial (topic); human; law enforcement; legislation and jurisprudence; photography; prevention and control; procedures; statistical model; statistics and numerical data; traffic accident; Cameras"
"10.1016/j.aap.2016.10.027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994496663&doi=10.1016%2fj.aap.2016.10.027&partnerID=40&md5=f2d8e5207ccd4f8ee158e7b24bf26f5a","Drivers’ behavior; Road Safety in Abu Dhabi; Self-reported questionnaire; Speeding behavior","Accidents, Traffic; Adult; Aged; Automobile Driving; Female; Health Behavior; Humans; Logistic Models; Male; Middle Aged; Models, Theoretical; Risk-Taking; Self Report; Surveys and Questionnaires; United Arab Emirates; Accident prevention; Accidents; Automobile drivers; Behavioral research; Crashworthiness; Digital storage; Driver training; Highway administration; Motor transportation; Regression analysis; Roads and streets; Safety engineering; Speed; Surveys; Transportation; Abu Dhabi; Compliance with speed limits; Logistic regression models; Questionnaire surveys; Self-reported questionnaire; Significant variables; Speeding behaviors; United Arab Emirates; adult; aged; car driving; epidemiology; female; health behavior; high risk behavior; human; male; middle aged; questionnaire; self report; statistical model; statistics and numerical data; theoretical model; traffic accident; United Arab Emirates; Traffic signs"
"10.1061/9780784479896.147","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979783743&doi=10.1061%2f9780784479896.147&partnerID=40&md5=a41e5919faccc214e78b1f1f512a8271","","Cameras; Decision making; Multimodal transportation; Distance effects; Effective distance; Irrational decision makings; Mobile speed; Parabolic functions; Speed cameras; Speeding behaviors; Warning signs; Speed"
"10.3141/2660-05","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033789720&doi=10.3141%2f2660-05&partnerID=40&md5=984abb1e885720b43186692bcddf49c6","","% reductions; Alberta; Data collection; Down-stream; Halo effect; Site visits; Speed limit; Summer months; Two sample t tests; Urban road; Law enforcement"
"10.1007/s40534-019-0182-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062638877&doi=10.1007%2fs40534-019-0182-5&partnerID=40&md5=07b1f09276d2b30fcf94a141a41d4341","Driving simulator; Dynamic speed display sign; Reduced speed limit sign; Speed photo enforced sign; Speed study; Work zone",""
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112495508&partnerID=40&md5=c906ef69e96328a90b2de890f5a14943","Baseball; Fatigue; Kinematics; Pitcher; Sports biomechanics",""
"10.3969/j.issn.1000-1093.2016.09.027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85003582753&doi=10.3969%2fj.issn.1000-1093.2016.09.027&partnerID=40&md5=862a5073bf91de2da1e985b9182fa8fd","Fault diagnosis; Operation status; Ordnance science and technology; Relative peak frequency ratio; Relative peak ratio; Shock response spectrum","Cracks; Extraction; Failure analysis; Interactive computer systems; Spectrum analysis; Operation status; Peak frequencies; Peak ratios; Science and Technology; Shock response spectra; Fault detection"
